date,cluster_1_mean_distance,cluster_2_mean_distance
2020-03-31,1944.436915524509,2335.3068049174
2020-04-30,,
2020-05-31,,
2020-06-30,2347.1719123016273,2307.2775264690213
2020-07-31,,
2020-08-31,2428.8469200146014,1833.0186666819457
2020-09-30,2627.136174999016,1927.921978099679
2020-10-31,3368.201104497714,2644.4873760237415
2020-11-30,,
2020-12-31,,
2021-01-31,,
2021-02-28,,
2021-03-31,,
2021-04-30,,
2021-05-31,,
2021-06-30,,
2021-07-31,,
2021-08-31,,
2021-09-30,,
2021-10-31,,
2021-11-30,,
2021-12-31,,
2022-01-31,2459.835028659206,1996.784582223231
2022-02-28,,
2022-03-31,2583.2451123882665,2000.8838260922394
2022-04-30,3089.0924933088518,2895.207106996497
2022-05-31,3662.940468404893,4424.082146661075
2022-06-30,3056.8428979979763,3918.211916675516
2022-07-31,2893.1028512324433,3373.6695785680245
2022-08-31,2529.698753343253,2311.174917273478
2022-09-30,,
2022-10-31,,
2022-11-30,,
2022-12-31,,
2023-01-31,2572.7226199505167,2824.2919456273958
2023-02-28,2067.972647332675,2315.7378132655845
2023-03-31,2960.4759242518535,2396.80819438416
2023-04-30,2434.427312574498,2036.1020496601836
2023-05-31,3060.6575438543823,2639.589057237561
2023-06-30,2811.730107084772,1681.0325700746134
2023-07-31,5631.9354563654974,2606.7509053247322
2023-08-31,2534.3773106147482,2727.889680871192
2023-09-30,,
2023-10-31,,
2023-11-30,,
2023-12-31,,
2024-01-31,,
2024-02-29,,
2024-03-31,2971.8684905478262,2478.8297756961406
2024-04-30,4297.508490484825,2853.2645127853807
