date,month_year,centroid_distance
2020-03-01,2020-03,69639.37066666667
2020-04-01,,54010
2020-05-01,,78541
2020-06-01,2020-06,46506.13483333334
2020-07-01,,46521
2020-08-01,2020-08,45999.289500000006
2020-09-01,2020-09,41426.9435
2020-10-01,2020-10,65042.02428571428
2020-11-01,,31599.5
2020-12-01,,42652.5

2022-01-01,2022-01,50652.319500000005
2022-02-01,,63168.5
2022-03-01,2022-03,40292.110166666665
2022-04-01,2022-04,46562.78766666667
2022-05-01,2022-05,55386.471
2022-06-01,2022-06,52039.79116666666
2022-07-01,2022-07,48929.36866666667
2022-08-01,2022-08,45367.828624999995
2022-09-01,,39494.5
2022-10-01,,29501.0
2022-12-01,,62121.86687
2023-01-01,2023-01,44089.376125
2023-02-01,2023-02,47888.74133333333
2023-03-01,2023-03,43790.402571428574
2023-04-01,2023-04,38652.288
2023-05-01,2023-05,45202.51266666667
2023-06-01,2023-06,28519.06525
2023-07-01,2023-07,32237.424833333334
2023-08-01,2023-08,31629.187400000003
2023-09-01,,24781.14127425
2024-03-01,2024-03,56308.021
