date,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_distance
2020-03-18,-35682.47,-44.814034,16031.255,20.132797,51713.76
2020-03-19,-15461.923,261.41684,46385.75,-784.2418,61856.51
2020-03-20,-59121.715,627.09973,48372.31,-513.08264,107500.08
2020-03-21,20604.646,1206.1378,-18089.523,-1058.9108,38760.41
2020-03-22,-27572.447,2849.1873,14522.898,-1500.7177,42319.496
2020-03-23,-27109.58,-332.52094,30570.379,374.96988,57684.297
2020-09-18,-20412.592,-317.12857,14630.481,227.29759,35047.305
2020-09-19,25189.93,-80.72077,-21675.057,69.45532,46865.223
2020-09-20,9626.158,-2684.9473,-17877.148,4986.3345,28553.117
2020-09-21,15140.827,-1577.1998,-25505.688,2656.8958,40866.45
2020-09-22,41376.734,83.120705,-40965.023,-82.29287,82341.92
2020-09-23,29181.705,728.5644,-25109.832,-626.9047,54308.457
2020-09-24,-21012.191,833.9123,15060.245,-597.69666,36100.836
2020-10-18,44796.793,-1601.8342,-37777.938,1350.8561,82627.51
2020-10-19,45906.07,-850.6875,-44997.06,833.8421,90918.73
2020-10-20,-78049.83,607.7933,60091.49,-467.947,138145.5
2020-10-21,-10379.536,298.52222,20148.512,-579.4849,30540.67
2020-10-22,19342.56,-1789.2861,-7996.75,739.7395,27456.035
2020-10-23,-19957.344,5091.9375,8655.334,-2208.331,29529.295
2020-10-24,-25401.139,1179.0748,31361.18,-1455.7313,56823.438
2022-01-17,20444.451,1747.5222,-23054.385,-1970.6107,43657.453
2022-01-18,38150.742,905.2675,-38921.47,-923.55536,77093.91
2022-01-19,-36763.746,2314.211,31317.271,-1971.3657,68215.766
2022-01-20,-32900.695,501.6254,31610.475,-481.95312,64518.67
2022-01-21,-27682.463,-59.38274,26596.875,57.053482,54279.46
2022-01-22,28000.908,2663.593,-23142.307,-2201.4165,51374.086
2022-01-23,38207.73,9226.208,-14131.627,-3412.4326,53843.7
2022-03-17,30381.023,2738.034,-26941.67,-2428.0671,57555.016
2022-03-18,54155.16,-7414.1943,-31465.643,4307.852,86419.49
2022-03-19,24240.719,6104.4883,-23290.105,-5865.097,49014.797
2022-03-20,25463.844,8220.309,-27585.846,-8905.336,55745.47
2022-03-21,-14593.095,-883.81476,48855.14,2958.855,63564.49
2022-03-22,-15977.019,10857.505,15818.047,-10749.471,38442.004
2022-03-23,53561.965,-3599.2952,-42513.312,2856.8406,96291.96
2022-04-18,56975.28,-3079.71,-36426.816,1968.9955,93538.445
2022-04-19,-54759.816,2285.833,38448.367,-1604.9418,93289.36
2022-04-20,53479.473,-2387.1147,-26043.906,1162.492,79602.555
2022-04-21,32150.738,-5828.0254,-32150.744,5828.024,65349.402
2022-04-22,-17827.059,764.4095,31692.549,-1358.9508,49565.113
2022-05-18,48689.137,-4718.0366,-46314.05,4487.8896,95448.18
2022-05-19,51761.707,-4874.7144,-18186.54,1712.7386,70257.76
2022-05-20,57715.355,674.2508,-49164.93,-574.36444,106887.58
2022-05-21,50280.652,2417.0256,-22589.861,-1085.91,72954.664
2022-05-22,59410.74,-1497.1807,-58819.594,1482.2819,118267.86
2022-05-23,44219.023,-2752.4495,-40817.566,2540.7227,85201.17
2022-06-17,24603.037,-16754.465,-24358.244,16587.758,59236.06
2022-06-18,35838.164,1426.8723,-41233.16,-1641.6672,77132.39
2022-06-19,56213.723,-5278.6973,-53471.594,5021.197,110167.85
2022-06-20,36896.098,-3274.3845,-37266.91,3307.294,74454.484
2022-06-21,58785.812,-5208.5947,-17559.395,1555.8115,76644.29
2022-06-22,39894.93,-2182.562,-36095.418,1974.6979,76103.98
2022-06-23,-18296.982,448.12778,40725.535,-997.4467,59040.22
2022-07-18,52156.035,145.02002,-52156.0,-145.0203,104312.43
2022-07-19,60457.97,-1243.3306,-60457.973,1243.3325,120941.51
2022-07-20,60368.99,826.96387,-41519.598,-568.7536,101898.15
2022-07-21,59744.934,-748.99524,-59744.93,748.995,119499.25
2022-07-22,-29759.986,3206.485,66239.97,-7137.0146,96555.57
2022-07-23,52539.62,-201.71819,-51499.22,197.72333,104039.62
2022-08-17,76877.414,3698.9143,-75355.086,-3625.6675,152408.61
2022-08-18,53063.09,-445.18298,-50982.21,427.72467,104048.96
2022-08-19,55017.977,-754.56006,-54470.52,747.0514,109498.8
2022-08-20,47861.652,-1168.4934,-35739.496,872.54376,83626.06
2022-08-21,-24903.19,3023.9685,34390.133,-4175.953,59728.863
2022-08-22,43295.453,-318.04178,-43295.457,318.04236,86593.24
2022-08-23,37934.906,453.14548,-37557.434,-448.63724,75497.73
2024-03-17,51397.156,-3243.164,-34623.188,2184.7234,86191.42
2024-03-18,20226.04,-24676.934,-20226.04,24676.928,63813.59
2024-03-19,52435.086,-1977.498,-51396.777,1938.3373,103905.67
2024-03-20,48907.39,-3737.8872,-34694.99,2651.6619,83846.19
2024-03-21,-16713.387,3807.0986,83068.02,-18921.812,102337.34
2024-03-22,38046.918,-8466.824,-36922.375,8216.57,76803.195
2024-03-23,63385.992,1544.488,-58510.133,-1425.6816,121932.305
2024-04-20,64451.113,-1893.5933,-55457.945,1629.3695,119960.805
2024-04-21,59389.29,-1404.6245,-23964.096,566.78186,83376.695
2024-04-23,51710.086,-3299.3247,-44494.73,2838.9539,96400.44
