Month,PAM,Centroid_X,Centroid_Y
2020-03,PAM_1,452656.0,-26571.99
2020-03,PAM_4,-454470.16,26678.47
2020-04,PAM_1,-405398.88,9626.525
2020-04,PAM_4,603056.2,-14320.017
2020-05,PAM_1,623290.44,-6728.6924
2020-05,PAM_4,-559423.94,6039.2163
2020-09,PAM_1,-270409.7,34275.035
2020-09,PAM_4,489167.9,-62003.156
2020-10,PAM_1,-941112.6,-33337.117
2020-10,PAM_4,915125.4,32416.6
2020-11,PAM_1,-367118.1,1734.6714
2020-11,PAM_4,273576.7,-1292.6171
2020-12,PAM_1,384012.6,209003.92
2020-12,PAM_4,-401289.28,-218407.0
