Month,Conf1,Conf2,Conf3,Conf4
2020-03-01,0.99676645,1.0,0.24947359,0.99724436
2020-04-01,0.9587636,0.99999964,0.037320014,0.9998883
2020-05-01,0.0070591588,1.0,0.95025533,0.9934269
2020-06-01,0.95641446,0.9999999,0.0295803,0.9828136
2020-07-01,0.9349859,1.0,0.81353545,0.9986534
2020-08-01,0.99123985,0.9999944,0.99998283,0.9823152
2020-09-01,0.99451387,1.0,0.9999633,0.93081695
2020-10-01,0.9931358,1.0,0.9939282,0.988593
2020-11-01,0.99925965,0.99999666,0.68549323,0.92730737
2020-12-01,0.99259186,1.0,0.97342455,0.99814856
2021-01-01,0.99865866,0.9999945,0.9542962,0.999816
2021-02-01,0.9998091,0.9999999,0.33854237,0.9992716
2021-03-01,0.9867444,1.0,0.013924322,0.997673
2021-04-01,0.9976872,1.0,0.84572583,0.9992926
2021-05-01,0.03731048,1.0,3.1991727e-05,0.4022129
2021-06-01,0.99884087,0.9999951,0.9250847,0.8145031
2021-07-01,0.83374965,0.9999989,0.6367046,0.9909807
2021-08-01,0.9958032,1.0,0.9997304,0.99996877
2021-09-01,0.9912224,0.9999987,0.9504891,0.99580055
2022-01-01,0.99993384,0.9999993,0.8666844,0.939178
2022-02-01,0.9986854,1.0,0.009075781,0.85560846
2022-03-01,0.9999844,1.0,0.7032176,0.9689605
2022-04-01,0.9857926,0.9999993,0.53275424,0.97252166
2022-05-01,0.51013136,1.0,1.1254176e-05,0.9836807
2022-06-01,0.99734855,0.99999964,0.043077398,0.9504642
2022-07-01,0.9743804,0.9999999,0.59036016,0.8370084
2022-08-01,0.99995875,1.0,0.9952933,1.0
2023-01-01,0.94274986,0.99998856,0.9149153,0.9925909
2023-02-01,0.9999982,0.99997234,0.37392,0.8999703
2023-03-01,0.9588619,0.99999976,5.2960655e-05,0.99727327
2023-04-01,0.9754052,0.9999999,0.007935577,0.9971289
2023-05-01,0.99868673,0.9999393,0.9936725,0.9992663
2023-06-01,0.9999962,0.99999964,0.9996935,0.984294
2023-07-01,0.9912527,0.9999473,0.9725891,0.997324
2023-08-01,0.9696553,0.99999976,0.99981934,0.99791974
2023-09-01,0.9760292,0.99999297,0.9953891,0.85342735
2023-10-01,0.8682342,0.99999607,0.9998311,0.86813384
2023-11-01,0.9139808,1.0,0.9514068,0.9834036
2024-03-01,0.9850096,0.99999964,0.020190319,0.9995203
2024-04-01,0.9635553,1.0,0.10691201,0.99999166
